,Administrasi Fiskal - UI (IPS),Administrasi Negara - UNPAD (IPS),Administrasi Niaga - UI (IPS),Administrasi Perpajakan - UB (IPS),Agribisnis - IPB (IPA),Agroekoteknologi - UB (IPA),Agronomi Dan Holtikultura - IPB (IPA),Agroteknologi - UNPAD (IPA),Akuntansi - UGM (IPS),Akutansi - UI (IPA),Antropologi - UNAIR (IPA),Antropologi Sosial - UB (IPS),Apoteker - UNAIR (IPA),Arkeologi - UI (IPA),Arsitektur - ITB (IPA),Arsitektur Lansekap - IPB (IPA),Astronomi - ITB (IPA),Biokimia - IPB (IPA),Biologi - ITS (IPA),Budidaya Perairan - UNAIR (IPA),Desain Interior - ITS (IPS),Ekonomi Dan Studi Pembangunan - IPB (IPS),Ekonomi Islam - UB (IPS),Ekonomi Islam  - UNPAD (IPS),Ekonomi Pembangunan - IPB (IPS),Elektro - ITB (IPA),Fakultas Kedokteran Gigi - UNAIR (IPA),Fakultas Kedokteran Hewan - IPB (IPA),Fakultas Teknik Industri - ITB (IPA),Farmasi - UI (IPA),Fisika - IPB (IPA),Fiskal - UI (IPS),Fitb - ITB (IPA),Fkg - UGM (IPA),Fmipa - ITB (IPA),Fmipa Fisika - UB (IPA),Fmipa- Ilmu Kimia - UNPAD (IPA),Fsrd - ITB (IPS),Geofisika - UGM (IPA),Geofisika  - UI (IPA),Gizi - UGM (IPA),Hi - UB (IPS),Hubungan Internasional - UGM (IPS),Hubungan Masyarakat - UNPAD (IPS),Hukum - UB (IPS),Humas - UNPAD (IPS),Ikk - IPB (IPA),Ilmu Adm. Fiskal - UI (IPS),Ilmu Administrasi Bisnis - UNPAD (IPS),Ilmu Administrasi Negara - UI (IPS),Ilmu Administrasi Publik - UB (IPS),Ilmu Dan Teknologi Kelautan - IPB (IPA),Ilmu Dan Teknologi Pangan - UB (IPA),Ilmu Ekonomi - UGM (IPS),Ilmu Ekonomi Islam - UI (IPS),Ilmu Filsafat - UGM (IPS),Ilmu Gizi - IPB (IPA),Ilmu Hub. Internasional - UNPAD (IPA),Ilmu Hubungan Internasional - UI (IPS),Ilmu Hukum - UB (IPS),Ilmu Kelautan - UNDIP (IPA),Ilmu Keluarga Dan Konsumen - IPB (IPA),Ilmu Keperawatan - UI (IPA),Ilmu Keperawatan  - UNPAD  (IPA),Ilmu Kesehatan Masyarakat - UI (IPA),Ilmu Komputer - IPB (IPA),Ilmu Komunikasi - UB (IPS),Ilmu Peternakan - UNPAD (IPA),Ilmu Politik - UB (IPS),Ilmu Sejarah - UI (IPA),Ilmu Sosiologi - UNPAD (IPS),Ilmu Teknologi Pangan - IPB (IPA),Itb - Sithr - ITB (IPA),Jurnalistik - UNPAD (IPS),Kedokteran - UI (IPA),Kedokteran  - UNAIR (IPA),Kedokteran Gigi - UGM (IPA),Kedokteran Hewan - IPB (IPA),Kehutanan - UGM (IPA),Kesehatan Masyarakat - UI (IPA),Kesehatan Masyarakat (Pdd Banyuwangi) - UNAIR (IPA),Kesejahteraan Sosial - UI (IPS),Kimia - IPB (IPA),Kimia  - UI (IPA),"Kimia,  - UNPAD (IPA)",Komunikasi - UI (IPS),Komunikasi Dan Pengembangan Masyarakat - IPB (IPS),Kriminologi - UI (IPS),Manajemen - IPB (IPS),Manajemen Bisnis - ITS (IPS),Manajemen Dan Kebijakan Publik (An) - UGM (IPS),Manajemen Hutan - IPB (IPS),Manajemen Komunikasi - UNPAD (IPS),Manajemen Sd Perairan - UNDIP (IPS),Matematika - IPB (IPA),Matematika  - UI (IPA),Matematika (Fak. Matematika & Ilmu Pengetahuan Alam) - ITB (IPA),Menejemen - UNAIR  (IPA),Meteorologi Terapan - IPB (IPA),Mipa Geologi - UI (IPA),Mipa Kimia - UB (IPA),Nutrisi & Teknologi Pakan - IPB (IPA),Oceanografi - UNDIP (IPA),Pembangunan Wilayah - UGM (IPA),Pend. Apoteker - UNAIR (IPA),Pendidikan Dokter - UB (IPA),Pendidikan Dokter Gigi - UNAIR (IPA),Perencanaan Wilayah & Kota - UB (IPA),Perencanaan Wilayah Dan Kota - ITS (IPA),Perikanan - IPB (IPA),Peternakan - UB (IPA),Proteksi Tanaman - IPB (IPA),Psdk - UGM (IPS),Psikologi - UI (IPS),Psikologi  - UGM (IPS),S-1 Teknik Informatika - ITS (IPA),Sappk - ITB (IPA),Sbm - ITB (IPS),Silvikultur - IPB (IPA),Sistem Informasi - ITS (IPA),Sith - Rekayasa - ITB (IPA),Sosial Ekonomi Pertanian (Agrobisnis) - UGM (IPS),Sosiologi - UB (IPS),Sosiologi Murni - UNAIR (IPS),Statistika - IPB (IPA),Stei - ITB (IPA),Tehnik Sipil - UGM (IPA),Teknik Elektro - ITS (IPA),Teknik Fisika - UGM (IPA),Teknik Geodesi - UNDIP (IPA),Teknik Geologi - UGM (IPA),Teknik Geologi  - UNPAD (IPA),Teknik Industri - ITB (IPA),Teknik Industri Pertanian - UGM (IPA),Teknik Informatika - ITS (IPA),Teknik Kimia - ITB (IPA),Teknik Komputer - ITS (IPA),Teknik Lingkungan - UB (IPA),Teknik Mesin - ITS (IPA),Teknik Mesin Dan Biosistem - IPB (IPA),Teknik Metalurgi & Material - UI (IPA),Teknik Multimedia Dan Jaringan - ITS (IPA),Teknik Nuklir - UGM (IPA),Teknik Pengairan - UB (IPA),Teknik Perkapalan - ITS (IPA),Teknik Pertanian - UGM (IPA),Teknik Sipil - ITB (IPA),Teknik Sipil Dan Lingkungan - IPB (IPA),Teknik Sipil Lingkungan - ITB (IPA),Teknik Sistem Perkapalan - ITS (IPA),Teknobiomedik - UNAIR (IPA),Teknologi Bioproses - UI (IPA),Teknologi Dan Manajemen Perikanan Budidaya - IPB (IPS),Teknologi Hasil Perikanan - UB (IPA),Teknologi Industri Hasil Perikanan - UNAIR (IPA),Teknologi Industri Pertanian - IPB (IPA),Teknologi Informasi - UGM (IPA),Teknologi Pangan - IPB (IPA),Televisi & Film - UNPAD (IPS),Tin - IPB (IPA),Tip - UGM (IPA),Tv & Film - UNPAD (IPS)
Matematika,84.0,88.5,85.465625,92.0,95.0,81.85214285714287,91.0,82.5,91.625,44.693124999999995,84.57600393916184,77.0,87.73333333333333,85.37790697674419,89.0,92.0,86.0,85.59369671905155,89.18547008547007,83.68333333333334,89.1029411764706,84.0,82.40857142857143,80.38972219552053,87.0,85.0,90.0,87.0,86.99512195121952,85.465625,85.32139784946237,83.0,88.23133394383393,88.0,89.29127941357908,92.0,91.0,77.0,90.31481481481481,93.0,86.0,78.0,89.0,80.67905091480021,78.0,80.0,83.0,85.465625,79.73777777777778,83.0,82.40857142857143,89.0,83.70428571428572,88.87654320987654,89.2328125,82.0,86.83034946236559,81.0,82.0,82.93904761904763,82.0,85.2908049155146,85.465625,84.0,86.0,94.0,80.13619047619048,82.44907407407408,80.0,83.15520833333333,78.0,87.0,83.0,82.23715274440067,88.0,87.73333333333333,87.0,85.69860661703888,85.12342738205366,87.0,83.0,78.0,86.10713261648745,90.0,82.23715274440067,87.0,84.22984615384615,80.5,88.0,86.0,91.0,89.0,76.08333333333333,76.0,88.66069892473118,94.0,90.0,79.0,89.66069892473118,78.0,89.0,93.0,86.24999999999999,82.0,92.0,91.0,86.33333333333333,84.0,91.88910256410256,87.0,82.40857142857143,86.5,87.25925925925925,83.66666666666667,88.0,93.0,87.33333333333333,86.99512195121952,86.44046594982079,90.77820512820513,82.0,88.0,82.40857142857143,82.0,86.16069892473118,91.14285714285714,92.0,91.88910256410256,88.61713691026827,86.24999999999999,86.0,82.23715274440067,88.0,86.5,91.91112820512821,80.0,86.1029411764706,79.0,89.88568929110106,90.16069892473118,81.0,88.0,87.25925925925925,83.0,92.0,87.41975308641975,83.83766788766789,88.5,91.0,88.66666666666667,86.15466863624758,85.465625,84.5,82.0,85.0,85.41069892473118,92.0,92.0,85.0,90.0,87.0,85.0
Inggris,84.0,80.5,83.88866675928499,86.0,90.0,84.72972222222222,91.0,82.75,90.875,54.255466703714,85.30796586059743,81.0,87.0,84.51785714285714,90.0,81.0,87.0,85.61666666666667,87.58974358974359,83.5,88.58697478991597,86.0,83.91888888888889,82.5040100988849,90.0,91.0,91.0,98.0,83.91863414634147,83.88866675928499,85.05,88.0,88.28819444444443,89.0,85.95054974835463,96.0,85.0,86.64829268292684,88.83411439981208,88.0,86.0,90.0,88.0,85.96000420786872,83.0,84.0,90.0,83.88866675928499,83.56666666666666,84.0,83.91888888888889,88.0,82.45944444444444,85.13148148148149,85.4443333796425,88.5475687103594,86.5125,85.0,84.0,81.94592592592592,83.5,86.30714285714286,83.88866675928499,90.0,85.0,86.0,85.70088888888888,84.31944444444444,83.0,83.62955558642834,82.0,91.0,88.0,84.88001262360613,93.0,87.0,88.0,85.425,88.5475687103594,87.0,81.0,80.0,83.01666666666667,86.0,84.88001262360613,91.0,84.4,81.5888666759285,81.0,84.0,85.0,83.0,77.89666877060102,83.0,84.525,85.0,87.0,83.0,89.025,87.0,83.0,91.0,85.5,95.0,90.0,92.0,87.0,82.0,88.1923076923077,89.0,83.91888888888889,86.0,87.78888888888888,81.296222253095,88.0,93.0,88.33333333333333,86.64829268292684,86.35000000000001,93.0,88.0,88.0,83.91888888888889,85.0,84.525,88.93174603174603,75.3,88.6923076923077,88.5475687103594,85.5,86.0,84.88001262360613,90.0,82.5,89.12695798319328,81.0,87.0,79.0,86.51171299288947,89.525,86.0,87.0,87.78888888888888,90.0,82.0,88.92962962962963,83.2611111111111,84.5,87.0,88.33333333333333,86.15398293029872,83.88866675928499,85.5,91.0,84.0,84.775,90.0,88.0,85.5,83.0,94.0,85.0
Indonesia,84.0,89.5,85.24603174603176,89.0,88.0,85.83791666666667,89.0,84.0,89.875,85.0,85.9701280227596,80.0,87.33333333333333,85.49380378657487,91.0,88.0,84.0,86.45969348659003,85.76923076923077,84.95833333333333,87.8,82.75790804597702,84.35166666666666,85.36174342105264,90.0,86.0,97.0,98.0,85.20731707317074,85.24603174603176,85.5790804597701,83.0,86.92744252873563,89.0,84.78062797869357,94.0,88.0,85.20731707317074,90.42851851851853,88.0,89.0,88.0,89.0,86.78724780701755,81.0,85.5,84.0,85.24603174603176,84.1888888888889,83.0,84.35166666666666,86.0,83.17583333333333,88.49567901234569,86.12301587301587,87.0,86.14477011494253,85.0,84.0,83.9011111111111,84.0,86.96246305418718,85.24603174603176,89.0,86.0,86.0,84.45055555555555,85.16203703703704,79.0,86.41534391534391,79.0,91.0,86.0,85.36174342105264,87.0,87.33333333333333,89.0,86.18954022988505,88.74000000000001,86.5,83.0,85.0,83.5263601532567,82.0,85.36174342105264,92.0,83.9,86.0,81.0,87.0,89.0,84.0,77.14362390350878,85.0,84.78954022988505,88.0,82.0,83.0,87.78954022988505,85.0,82.0,90.0,87.83333333333333,95.0,90.0,95.0,86.33333333333333,84.0,88.0,89.0,84.35166666666666,87.5,87.97407407407408,85.41534391534391,91.0,93.0,90.33333333333333,85.20731707317074,85.5263601532567,87.15384615384616,86.0,90.5,84.35166666666666,88.0,87.78954022988505,88.48111658456487,75.3,84.57692307692308,88.74000000000001,87.83333333333333,84.0,85.36174342105264,87.0,87.0,86.6,84.0,86.0,80.0,85.15076923076924,89.78954022988505,80.0,85.0,87.97407407407408,88.0,79.0,84.42469135802469,82.183908045977,91.0,84.0,88.66666666666667,86.65173067804646,85.24603174603176,86.5,89.0,86.0,86.78954022988505,93.0,86.0,86.5,89.0,80.0,84.0
Fisika,82.0,84.5844298245614,84.49301572617946,81.95661538461539,91.0,81.73915384615384,89.0,80.5,89.4375758636788,87.0,84.64671957671958,73.0,85.45,85.45867269984917,86.0,81.0,92.0,85.61911877394635,84.92307692307692,82.3625,87.53285714285715,82.5603448275862,81.95661538461539,84.5844298245614,89.0,84.0,88.0,93.0,86.53878205128206,84.49301572617946,84.12068965517241,88.0,87.78017241379311,92.0,87.17369544966527,93.0,88.0,86.53878205128206,89.66800887021475,95.0,88.0,81.95661538461539,87.82857142857142,84.58442982456141,81.95661538461539,84.5844298245614,79.0,84.49301572617946,83.6259649122807,83.0,81.95661538461539,85.0,82.9783076923077,86.5262916277622,84.49301572617946,83.0,86.28017241379311,84.5844298245614,85.13678704195927,81.95661538461539,80.0,84.48029556650246,84.49301572617946,81.0,84.0,90.0,81.95661538461539,83.04956140350878,81.95661538461539,82.65056280867621,84.5844298245614,87.0,83.0,84.5844298245614,87.33333333333333,85.45,84.0,85.42867816091953,87.82857142857142,84.5,83.0,85.45867269984917,84.3735632183908,86.0,84.5844298245614,85.45867269984917,84.86833333333334,79.5,86.0,78.0,86.84346405228757,81.0,84.58442982456141,58.6,83.0603448275862,95.0,90.0,84.64671957671958,87.0603448275862,86.0,88.0,93.0,83.36,79.0,91.0,84.0,86.66666666666667,86.0,88.0,80.0,81.95661538461539,87.0,86.84346405228757,82.31722947534287,86.0,93.0,85.0,86.53878205128206,87.37356321839081,87.38461538461539,87.0,89.0,81.95661538461539,84.64671957671958,87.5603448275862,87.96387520525452,83.76869281045751,87.6923076923077,87.82857142857142,83.36,92.0,84.5844298245614,84.0,86.0,88.8,82.0,87.5,82.0,88.29006593406594,90.0603448275862,85.0,84.0,86.84346405228757,85.0,87.0,86.6144880174292,83.37356321839081,88.0,87.0,90.0,85.04835978835979,84.49301572617946,84.5,80.0,83.0,85.8103448275862,89.0,92.0,84.5844298245614,88.0,86.0,84.5844298245614
Kimia,81.0,84.59241126070991,85.29767441860466,82.39778205128205,89.0,82.34944551282051,90.0,81.5,88.71610644257703,74.3,85.03521367521367,73.0,85.53787878787878,85.232,88.0,91.0,81.0,86.42333333333333,84.38461538461537,82.13446969696969,89.26142857142857,84.0,82.39778205128205,84.59241126070991,88.0,85.0,88.0,95.0,87.54878048780488,85.29767441860466,85.15,85.232,87.80881824712645,89.0,88.5476628519364,92.0,85.0,87.54878048780488,88.11792717086834,92.0,91.0,82.39778205128205,87.62857142857143,84.59241126070991,82.39778205128205,84.59241126070991,83.0,85.29767441860466,85.24102465465992,85.29767441860466,82.39778205128205,86.0,83.19889102564102,87.78814192343604,85.29767441860466,84.0,88.5375,84.59241126070991,85.25389147286822,82.39778205128205,84.5,87.20714285714287,85.29767441860466,86.0,84.0,88.0,82.39778205128205,85.91835839598997,82.39778205128205,85.27578294573644,84.59241126070991,89.0,83.0,84.59241126070991,90.33333333333333,85.53787878787878,89.0,85.635,87.62857142857143,87.0,71.3,85.232,86.71666666666665,86.0,84.59241126070991,85.232,85.56,85.26483720930233,83.0,79.0,87.84313725490196,83.0,84.59241126070991,59.6,86.575,89.0,88.0,85.03521367521367,87.575,85.0,93.0,88.0,85.1,87.0,94.0,94.0,88.0,84.0,88.5,83.0,82.39778205128205,86.5,87.84313725490196,84.50989147286822,87.0,93.0,89.0,87.54878048780488,86.71666666666665,86.07692307692307,84.0,87.5,82.39778205128205,85.03521367521367,85.075,90.88403119868637,89.0,88.53846153846153,87.62857142857143,85.1,84.0,84.59241126070991,86.0,87.0,86.2,80.0,87.0,82.0,87.71995604395605,90.075,83.0,83.0,87.84313725490196,83.0,84.0,86.281045751634,83.5941091954023,89.5,92.0,86.66666666666667,85.28654623154623,85.29767441860466,84.0,79.0,81.0,84.825,89.0,85.0,84.59241126070991,88.0,87.0,84.59241126070991
Biologi,83.0,83.87994186046512,84.18255813953488,82.82753623188407,90.0,83.70688405797102,91.0,83.25,89.69579831932774,83.0,86.20689655172414,73.0,86.52272727272728,84.77415384615384,86.0,87.0,85.0,86.42777777777776,86.58974358974359,83.88068181818181,88.53285714285714,87.5,82.82753623188407,83.87994186046512,90.0,87.0,88.0,91.0,84.70323170731706,84.18255813953488,85.28333333333333,84.77415384615384,86.44240056818182,90.0,85.24876346214761,92.0,93.0,84.70323170731706,87.64033613445378,91.0,90.0,82.82753623188407,88.50252100840336,83.87994186046512,82.82753623188407,83.87994186046512,83.0,84.18255813953488,84.75493574051407,84.18255813953488,82.82753623188407,89.0,83.91376811594203,87.62789915966387,84.18255813953488,82.0,86.32083333333333,83.87994186046512,84.57695527728085,82.82753623188407,85.5,87.12142857142858,84.18255813953488,89.0,82.0,85.0,82.82753623188407,83.74122807017544,82.82753623188407,84.37975670840787,83.87994186046512,88.0,89.0,83.87994186046512,91.0,86.52272727272728,86.0,86.14166666666667,88.50252100840336,86.0,83.0,84.77415384615384,84.09444444444445,86.0,83.87994186046512,84.77415384615384,84.0,84.47835599284436,87.0,87.0,87.05882352941177,86.0,83.87994186046512,82.0,82.64166666666667,87.0,85.0,86.20689655172414,87.64166666666667,82.0,79.0,86.0,86.17272727272727,93.0,91.0,96.0,88.33333333333333,83.0,88.5,90.0,82.82753623188407,84.5,87.05882352941177,82.31890399522958,85.0,93.0,90.33333333333333,84.70323170731706,86.09444444444443,87.38461538461539,85.0,90.0,82.82753623188407,81.0,88.64166666666667,88.47938311688311,87.05882352941177,84.1923076923077,88.50252100840336,86.17272727272727,89.0,83.87994186046512,85.0,86.0,88.8,85.0,87.0,78.0,87.49006593406594,89.64166666666667,86.0,81.0,87.05882352941177,89.0,77.0,86.68627450980392,90.67784090909092,91.5,84.0,90.0,86.36481191222572,84.18255813953488,84.0,83.0,86.0,86.39166666666667,93.0,86.0,83.87994186046512,89.0,86.0,83.87994186046512
Ekonomi,86.14571428571429,89.0,86.14571428571429,91.24214285714285,85.0,83.72642857142857,83.0,82.06204493425523,92.25,86.14571428571429,85.21111111111111,79.0,86.09761904761905,85.84202268220189,84.65584415584416,83.0,87.91742424242425,85.94865319865319,87.90848595848597,85.87996031746032,87.9198717948718,82.0,84.21071428571429,83.96892940092573,85.84595959595961,84.65584415584416,85.21111111111111,83.0,84.65584415584416,86.14571428571429,83.0,78.0,87.25163555194804,88.10190476190476,86.51862554112553,88.0,93.0,84.65584415584416,88.6639768170426,85.84202268220189,81.0,90.0,90.0,85.65630980030858,81.0,84.5,83.0,86.14571428571429,81.7367097608274,86.0,84.21071428571429,85.84595959595961,84.21071428571429,91.1192126148705,91.07285714285715,82.0,85.9614898989899,84.0,87.9473408940673,84.80714285714286,84.91714285714286,83.12085137085137,86.14571428571429,85.0,83.88742857142857,87.0,84.40357142857142,81.7294210240021,77.0,86.38190476190476,87.0,83.0,87.91742424242425,83.96892940092573,86.76380952380953,86.09761904761905,86.0,84.4229797979798,89.8378947368421,83.70521360932113,85.21111111111111,88.0,82.66666666666667,85.70521360932113,83.96892940092573,86.0,84.4229797979798,85.5,83.0,84.0,88.10190476190476,85.0,78.91148823348762,85.0,83.0,86.0,83.33116883116884,85.21111111111111,84.4229797979798,85.84202268220189,84.21071428571429,83.0,87.27142857142857,83.32642857142858,85.21111111111111,84.21071428571429,85.21179894179893,81.0,89.98285714285716,83.0,84.21071428571429,82.5,86.87738095238095,85.09714285714286,89.8378947368421,87.83974358974359,85.74303751803753,84.65584415584416,84.90252525252525,87.94285714285715,87.91742424242425,90.47031578947369,84.21071428571429,84.0,83.0,85.72249536178107,86.87738095238095,87.89130036630037,89.8378947368421,87.27142857142857,89.8378947368421,83.96892940092573,87.91742424242425,86.47031578947369,87.69380952380952,88.0,90.9198717948718,84.21071428571429,87.09241758241758,84.5,85.84202268220189,81.0,86.87738095238095,84.21071428571429,87.0,87.23842522974103,87.91742424242425,85.9229797979798,87.91742424242425,87.87411477411479,85.65436507936508,86.14571428571429,84.4229797979798,88.72642857142857,85.21111111111111,84.9614898989899,89.8378947368421,85.84595959595961,86.0,83.0,89.8378947368421,86.0
Geografi,85.51272727272728,87.5,85.51272727272728,91.0,81.316,84.62774725274726,83.52666666666667,81.9260305512853,88.95980252896614,85.51272727272728,84.79370629370628,77.0,85.93333333333334,86.58409090909092,85.0,83.52666666666667,85.85892857142858,85.44222222222221,,85.07861305361304,84.56666666666666,83.42133333333334,84.80860805860806,84.2831380256475,87.25,88.0,84.79370629370628,83.52666666666667,85.0,85.51272727272728,83.52666666666667,88.0,86.19772321428572,88.6590909090909,85.02323979591837,84.80860805860806,84.2831380256475,85.0,88.21193367498515,86.58409090909092,88.6590909090909,89.0,89.0,88.42771267521584,86.0,84.64156901282375,83.52666666666667,85.51272727272728,80.80169230769232,84.0,84.80860805860806,87.25,84.80860805860806,89.29223546741929,85.75636363636363,72.3,85.38833333333334,86.0,86.66666666666667,83.87240537240537,85.1,84.05857142857143,85.51272727272728,79.33615384615385,84.50763636363635,81.316,86.3901098901099,82.66807817820934,81.0,85.17090909090909,87.0,83.52666666666667,86.0,84.2831380256475,84.67515151515151,85.93333333333334,88.09432189542484,85.38833333333334,88.09432189542484,86.68806818181818,84.79370629370628,84.0,84.1231111111111,86.58409090909092,84.2831380256475,92.0,85.38833333333334,84.5,86.0,85.79999999999998,88.0,87.25,78.96385633760792,87.5,85.38833333333334,85.51272727272728,82.2,84.79370629370628,87.26333333333334,86.58409090909092,84.80860805860806,83.52666666666667,87.5,87.0,84.79370629370628,84.80860805860806,84.72066822066823,84.80860805860806,,83.52666666666667,84.80860805860806,85.96333333333334,88.6590909090909,83.34181818181818,88.09432189542484,84.33333333333333,85.28630952380952,85.0,86.00888888888888,,85.85892857142858,85.50943218954248,84.80860805860806,82.0,83.42133333333334,85.36811224489796,88.6590909090909,,88.09432189542484,87.5,91.0,84.2831380256475,85.85892857142858,86.07545751633987,,85.85892857142858,84.33333333333333,84.80860805860806,,83.52666666666667,86.58409090909092,,88.6590909090909,84.80860805860806,84.33333333333333,88.28257823331353,85.85892857142858,86.625,85.85892857142858,,85.36351981351982,85.51272727272728,85.38833333333334,84.80860805860806,84.79370629370628,83.64500000000001,88.09432189542484,87.25,86.5,87.25,88.09432189542484,87.0
Sosiologi,86.93087709392057,85.5,86.93087709392057,91.0,,85.70249999999999,,81.3318462222751,91.87247474747475,86.93087709392057,85.6959706959707,83.0,85.36666666666667,86.37065637065638,,,89.8989898989899,,,85.61364468864468,84.66666666666666,,84.85,82.6827761778624,,,85.6959706959707,,,86.93087709392057,,88.0,,91.88888888888889,,84.85,85.103470222328,,90.7449494949495,86.37065637065638,91.88888888888889,89.0,93.0,89.201156740776,84.0,85.5,,86.93087709392057,80.47016666666667,84.0,84.85,,84.85,88.87542087542089,85.96543854696029,90.36363636363636,,87.0,85.0,84.56666666666666,85.2,,86.93087709392057,77.45027777777779,84.35852625635235,,83.61666666666666,82.72982508895764,82.0,85.97695903130686,90.0,,89.8989898989899,85.103470222328,87.97695903130686,85.36666666666667,90.36363636363636,,90.36363636363636,86.37065637065638,85.6959706959707,88.0,,86.37065637065638,85.103470222328,92.0,,83.0,,84.66666666666666,90.0,,79.76724503705466,87.0,,86.93087709392057,,85.6959706959707,,86.37065637065638,84.85,,87.0,91.88888888888889,85.6959706959707,84.85,85.07313797313797,84.85,,,84.85,,91.88888888888889,86.62058472928038,90.36363636363636,84.66666666666666,,,,,89.8989898989899,90.36363636363636,84.85,88.0,,,91.88888888888889,,90.36363636363636,87.0,90.36363636363636,85.103470222328,89.8989898989899,87.89090909090909,,89.8989898989899,84.66666666666666,84.85,,,86.37065637065638,,91.88888888888889,84.85,82.0,90.87205387205387,89.8989898989899,,89.8989898989899,,85.53131868131868,86.93087709392057,,84.85,85.6959706959707,,90.36363636363636,,85.5,,90.36363636363636,85.0
Sejarah,83.94388335704126,88.0,83.94388335704126,93.0,89.0,85.51791666666666,82.67647058823529,81.00066910486338,90.58131720430107,85.0,83.664,80.0,86.6,85.4122103814644,86.80000000000001,83.0,88.26190476190477,85.19771241830065,86.19555555555557,83.524,86.04333333333334,81.33823529411765,85.07166666666666,84.16999668089143,85.91666666666666,84.0,83.664,82.67647058823529,86.80000000000001,83.94388335704126,82.67647058823529,93.0,88.76458333333335,91.0,87.36989795918365,91.0,84.16999668089143,86.80000000000001,89.61575940860214,85.4122103814644,87.8125,89.0,91.0,88.88999889363048,82.0,83.08499834044571,82.67647058823529,83.94388335704126,81.89960784313726,85.0,85.07166666666666,85.91666666666666,85.07166666666666,89.80208333333333,84.97194167852064,87.0,84.56740196078431,84.0,85.66666666666667,84.38111111111111,84.59523809523809,84.51750700280112,83.94388335704126,85.0,84.0,84.0,85.02388888888889,85.25066910486338,84.0,87.64796111901376,90.0,82.67647058823529,83.0,84.16999668089143,83.96258890469417,86.6,89.13010752688172,84.29656862745097,88.65053763440861,85.85305259536611,73.3,83.0,82.7843137254902,86.0,84.16999668089143,91.0,84.29656862745097,87.0,85.0,86.0,92.0,82.0,77.27833278014857,86.11428571428571,82.83823529411765,84.0,88.0,83.664,82.83823529411765,79.0,85.07166666666666,82.67647058823529,88.19047619047618,87.8125,83.664,85.07166666666666,81.18799999999999,82.0,87.5,82.67647058823529,85.07166666666666,84.29656862745097,87.8125,83.2959222380275,83.0,84.08666666666667,87.68730158730159,86.80000000000001,86.19771241830064,87.25,88.26190476190477,87.5,85.07166666666666,84.0,84.83823529411765,87.34081632653063,87.8125,85.66833333333334,88.65053763440861,88.19047619047618,86.0,84.16999668089143,88.26190476190477,85.8252688172043,85.93466666666669,88.26190476190477,83.04333333333334,77.0,84.71933333333334,86.83823529411765,85.4122103814644,82.0,87.8125,85.0,78.0,86.1543458781362,83.13095238095238,87.45833333333333,85.0,86.7788888888889,85.132,83.94388335704126,85.95833333333333,83.0,84.0,85.08823529411765,91.0,85.91666666666666,86.5,88.0,88.65053763440861,85.0
